,stock,sample_mean,interval_left,interval_right
26,VID,0.9998042450037347,0.9988848387975984,1.0007244974613496
353,AAA,1.0000369535249434,0.9988843167859748,1.0011909203192846
373,CMV,1.0003603239113472,0.9988778872044889,1.0018449607055415
122,SCS,0.9998411727571282,0.9988745098584818,1.0008087711458191
56,TEG,1.0007960195046781,0.9988641419640261,1.0027316334401761
225,HOT,1.001433025058629,0.9988640365317649,1.0040086207930907
342,BCG,1.0000173687923777,0.998860348225099,1.001175729583638
81,TDH,0.9995255850797233,0.9988422566423352,1.0002093809960855
287,DRH,0.9998995895641044,0.9988392297695631,1.0009610750281832
319,CCL,0.9998368597737136,0.9988152759758915,1.0008594884428759
162,MDG,1.00007666200342,0.9988129526543291,1.0013419702117516
65,TMT,0.9998488241099597,0.998805581461695,1.0008931564149537
320,CDC,0.9997669314243185,0.9987921695427978,1.0007426446155856
4,VOS,0.9997954093042412,0.9987902782925009,1.00080155182798
203,LGL,0.9996963233253447,0.998788787467874,1.0006046838029383
194,KMR,0.9996212707163535,0.9987835344826956,1.0004597096067664
262,HAI,0.9997391204015279,0.9987697531362062,1.0007094284971982
393,HVG,0.9997101146201997,0.9987672799895327,1.0006538392851705
237,FCM,0.9997243675904638,0.9987517284161057,1.0006979539741598
11,VRC,0.9996888347194248,0.998728586074725,1.000650006615419
77,TCR,0.9995911274538962,0.9987276716357415,1.0004553297778012
51,TTF,0.9996569453556311,0.9987182547926982,1.0005965181893832
239,FDC,0.9998111466925295,0.998707236625363,1.0009162769545554
371,EMC,1.0006174603747067,0.998703985611795,1.002534601274653
278,DHM,0.9997907602669205,0.9987007995652547,1.000881910528394
73,TCD,1.0002156342216912,0.9986832447165964,1.001750375040486
364,VDP,1.0002966623524747,0.998681802728878,1.00191413318977
12,VRE,0.9999844418902845,0.9986811466867126,1.001289437915378
133,PTC,0.9998284754041156,0.9986734721997498,1.000984814412865
78,TCT,0.9996319359317483,0.9986662206635639,1.0005985850514638
106,SII,1.0003532217328985,0.9986634743094812,1.002045828223888
123,PLP,1.0002457630730772,0.998641097470699,1.0018530071310205
42,TNT,0.9997711729991021,0.9986315779195039,1.0009120685352193
292,DTT,0.9999012866612452,0.9986306169775793,1.001173573160396
119,SC5,0.9996540221867566,0.9986251967711379,1.0006839075413183
361,HU1,1.000195735518485,0.9986230875479886,1.0017708601207254
131,PSH,1.0010385825083292,0.998609156337454,1.0034739190110717
228,HQC,0.9994884411394285,0.9985957119569342,1.000381968408059
201,LDG,0.9999303291427366,0.9985943722377685,1.0012680733408257
270,DC4,1.0020648356382982,0.998578189309124,1.005563655979237
139,QCG,0.99950139723799,0.9985699774450516,1.0004336858161416
189,JVC,0.9995212612122697,0.9985533556755364,1.0004901049473705
38,VCG,1.0009716523550949,0.9985510792620574,1.0033980931240283
390,DIC,0.9993685595305425,0.9985436001821708,1.0001942004294506
52,TV2,1.0001372413510874,0.9985420673879106,1.0017349636094797
100,SGN,0.999562232716186,0.9985407192694001,1.0005847911776637
181,NVT,0.9996152605275821,0.9985376970000713,1.0006939868986784
10,VPS,1.0004932907879611,0.9985299568804288,1.0024604850504144
183,OGC,0.9994774580892829,0.9985085525165298,1.0004473038422743
34,UDC,0.9995659583300823,0.998490711317492,1.0006423632464219
174,NHH,1.0006730943462057,0.9984839144563216,1.0028670740215655
295,DXV,0.999518144179631,0.9984825886814365,1.0005547736827227
236,EVG,0.999977802937097,0.9984770729126878,1.0014807885872659
102,SGT,0.999613501029591,0.9984754451646571,1.000752854043251
311,DAH,0.9999128587644196,0.9984723031395049,1.0013554927649708
134,PTL,0.9995643520387434,0.9984627563787646,1.0006671630800574
377,LEC,0.9998847781718225,0.9984319152609313,1.0013397552084802
152,PIT,0.9994519156823234,0.9984239021531902,1.0004809876915408
322,CIG,0.9997694137825743,0.9984112465920455,1.0011294285265275
137,PXI,0.9993666521699098,0.9984042592080689,1.0003299728123016
280,DLG,0.9993653169182208,0.9983986124896074,1.0003329573632116
160,MCG,0.9994285583444532,0.9983820151569976,1.000476198559526
290,DTA,0.9995820114311947,0.9983709810266855,1.0007945108233534
86,SPM,0.9993431722424992,0.9983302028227106,1.00035716948559
263,HAR,0.9995401109695975,0.9983278439312278,1.0007538500608415
143,RIC,0.999496059139513,0.9982543264222,1.0007393364533284
208,HVX,0.9998542885165951,0.998250313305628,1.0014608409734125
221,HID,0.9996394020264892,0.998204739008305,1.001076127004405
129,POW,0.9996233227133423,0.9981757816049157,1.0010729630264372
97,SVT,1.0002062094329018,0.9981561287905462,1.0022605006696916
345,BHN,0.999411454393832,0.9981491758538058,1.0006753292354444
380,PXT,0.999209638772248,0.998121391068657,1.0002990729878956
200,LCM,0.9992656645323428,0.998119681876242,1.0004129629387206
333,AMD,0.9994392237539675,0.9980893700448881,1.0007909030561157
224,HNG,0.9992306617428689,0.998087817687105,1.0003748143934403
118,SBV,0.9994321756713699,0.9980594889688046,1.000806750306272
144,ROS,0.9996649783023537,0.9980186075183847,1.0013140650043806
266,HCD,0.9993538748297794,0.9979629860304248,1.0007467021495797
418,CYC,0.9990643393122188,0.9978518397858471,1.0002783121586194
363,VAF,1.0001286693973417,0.9978467746335301,1.0024157824409987
299,CRC,0.9994503396848586,0.9978165156388332,1.0010868389532035
378,CEE,0.9993828359177802,0.9978021204680871,1.0009660555326596
210,ICT,1.0002855725443862,0.9977886469058947,1.0027887466380627
207,HVN,0.9993208804866051,0.9977613898528758,1.0008828085879107
312,DAT,1.000726137153037,0.9977202840078453,1.0037410460960061
